,code,process_class,process,magnitude_class,magnitude,shape_class,shape
0,F01310A,MultiSegmentProcess,"MULTI(F013101,F013102,F013103)",CharacteristicMag,CHAR(mag=7.3),MultiPlaneShape,"MLTPLN(PLN((x=-805.83,y=-321.92,d=3.0)(x=-813.61,y=-340.34,d=3.0)(x=-805.83,y=-321.92,d=17.0)(x=-813.61,y=-340.34,d=17.0)),PLN((x=-811.97,y=-334.15,d=3.0)(x=-839.42,y=-368.54,d=3.0)(x=-845.67,y=-363.55,d=14.0)(x=-818.22,y=-329.16,d=14.0)),PLN((x=-837.42,y=-366.4,d=3.0)(x=-862.41,y=-389.46,d=3.0)(x=-837.42,y=-366.4,d=17.0)(x=-862.41,y=-389.46,d=17.0)))"
1,F01310B,MultiSegmentProcess,"MULTI(F013101,F013102)",CharacteristicMag,CHAR(mag=7.1),MultiPlaneShape,"MLTPLN(PLN((x=-805.83,y=-321.92,d=3.0)(x=-813.61,y=-340.34,d=3.0)(x=-805.83,y=-321.92,d=17.0)(x=-813.61,y=-340.34,d=17.0)),PLN((x=-811.97,y=-334.15,d=3.0)(x=-839.42,y=-368.54,d=3.0)(x=-845.67,y=-363.55,d=14.0)(x=-818.22,y=-329.16,d=14.0)))"
2,F01310C,MultiSegmentProcess,"MULTI(F013102,F013103)",CharacteristicMag,CHAR(mag=7.2),MultiPlaneShape,"MLTPLN(PLN((x=-811.97,y=-334.15,d=3.0)(x=-839.42,y=-368.54,d=3.0)(x=-845.67,y=-363.55,d=14.0)(x=-818.22,y=-329.16,d=14.0)),PLN((x=-837.42,y=-366.4,d=3.0)(x=-862.41,y=-389.46,d=3.0)(x=-837.42,y=-366.4,d=17.0)(x=-862.41,y=-389.46,d=17.0)))"
3,F01770A,MultiSegmentProcess,"MULTI(F017701,F017702)",CharacteristicMag,CHAR(mag=7.3),MultiPlaneShape,"MLTPLN(PLN((x=-451.09,y=-86.52,d=2.0)(x=-496.01,y=-56.56,d=2.0)(x=-451.09,y=-86.52,d=20.0)(x=-496.01,y=-56.56,d=20.0)),PLN((x=-426.52,y=-97.64,d=2.0)(x=-451.07,y=-77.11,d=2.0)(x=-426.52,y=-97.64,d=20.0)(x=-451.07,y=-77.11,d=20.0)))"
4,F01820A,MultiSegmentProcess,"MULTI(F018101,F018201)",CharacteristicMag,CHAR(mag=7.4),MultiPlaneShape,"MLTPLN(PLN((x=-858.17,y=-111.76,d=4.0)(x=-812.98,y=-144.84,d=4.0)(x=-858.17,y=-111.76,d=22.0)(x=-812.98,y=-144.84,d=22.0)),PLN((x=-813.95,y=-144.45,d=2.0)(x=-781.77,y=-174.46,d=2.0)(x=-813.95,y=-144.45,d=20.0)(x=-781.77,y=-174.46,d=20.0)))"
5,F01850A,MultiSegmentProcess,"MULTI(F018401,F018501)",CharacteristicMag,CHAR(mag=7.3),MultiPlaneShape,"MLTPLN(PLN((x=-653.45,y=-129.55,d=2.0)(x=-668.69,y=-148.1,d=2.0)(x=-653.45,y=-129.55,d=20.0)(x=-668.69,y=-148.1,d=20.0)),PLN((x=-674.22,y=-153.02,d=2.0)(x=-714.15,y=-179.65,d=2.0)(x=-717.57,y=-174.53,d=17.0)(x=-677.64,y=-147.89,d=17.0)))"
6,F01280B,MultiSegmentProcess,"MULTI(F012803,F012804)",CharacteristicMag,CHAR(mag=6.9),MultiPlaneShape,"MLTPLN(PLN((x=-722.07,y=-266.55,d=3.0)(x=-753.38,y=-259.95,d=3.0)(x=-751.94,y=-253.1,d=12.0)(x=-720.62,y=-259.7,d=12.0)),PLN((x=-748.7,y=-263.88,d=3.0)(x=-766.5,y=-266.54,d=3.0)(x=-767.53,y=-259.61,d=12.0)(x=-749.73,y=-256.95,d=12.0)))"
7,F01280A,MultiSegmentProcess,"MULTI(F012801,F012802)",CharacteristicMag,CHAR(mag=7.2),MultiPlaneShape,"MLTPLN(PLN((x=-745.09,y=-262.32,d=3.0)(x=-697.27,y=-258.14,d=3.0)(x=-696.66,y=-265.11,d=12.0)(x=-744.48,y=-269.29,d=12.0)),PLN((x=-777.85,y=-260.21,d=3.0)(x=-741.85,y=-260.21,d=3.0)(x=-741.85,y=-267.21,d=12.0)(x=-777.85,y=-267.21,d=12.0)))"
8,F01462A,MultiSegmentProcess,"MULTI(F014621,F014622)",CharacteristicMag,CHAR(mag=7.3),MultiPlaneShape,"MLTPLN(PLN((x=-153.44,y=99.51,d=4.0)(x=-119.04,y=151.09,d=4.0)(x=-106.77,y=142.91,d=10.0)(x=-141.17,y=91.33,d=10.0)),PLN((x=-160.03,y=85.61,d=4.0)(x=-151.5,y=101.46,d=4.0)(x=-141.54,y=96.09,d=11.0)(x=-150.07,y=80.25,d=11.0)))"
9,F01240A,MultiSegmentProcess,"MULTI(F012401,F012402)",CharacteristicMag,CHAR(mag=7.1),MultiPlaneShape,"MLTPLN(PLN((x=-851.5,y=-222.29,d=2.0)(x=-875.77,y=-204.66,d=2.0)(x=-851.5,y=-222.29,d=18.0)(x=-875.77,y=-204.66,d=18.0)),PLN((x=-851.86,y=-222.62,d=2.0)(x=-829.63,y=-245.64,d=2.0)(x=-851.86,y=-222.62,d=18.0)(x=-829.63,y=-245.64,d=18.0)))"
10,F01220A,MultiSegmentProcess,"MULTI(F012201,F012202,F012203)",CharacteristicMag,CHAR(mag=7.5),MultiPlaneShape,"MLTPLN(PLN((x=-868.73,y=-160.8,d=2.0)(x=-842.87,y=-193.9,d=2.0)(x=-868.73,y=-160.8,d=18.0)(x=-842.87,y=-193.9,d=18.0)),PLN((x=-844.82,y=-191.93,d=2.0)(x=-817.15,y=-231.16,d=2.0)(x=-844.82,y=-191.93,d=18.0)(x=-817.15,y=-231.16,d=18.0)),PLN((x=-820.36,y=-230.74,d=2.0)(x=-796.96,y=-255.4,d=2.0)(x=-799.96,y=-258.25,d=15.0)(x=-823.37,y=-233.59,d=15.0)))"
11,F01220B,MultiSegmentProcess,"MULTI(F012201,F012202)",CharacteristicMag,CHAR(mag=7.3),MultiPlaneShape,"MLTPLN(PLN((x=-868.73,y=-160.8,d=2.0)(x=-842.87,y=-193.9,d=2.0)(x=-868.73,y=-160.8,d=18.0)(x=-842.87,y=-193.9,d=18.0)),PLN((x=-844.82,y=-191.93,d=2.0)(x=-817.15,y=-231.16,d=2.0)(x=-844.82,y=-191.93,d=18.0)(x=-817.15,y=-231.16,d=18.0)))"
12,F01220C,MultiSegmentProcess,"MULTI(F012202,F012203)",CharacteristicMag,CHAR(mag=7.3),MultiPlaneShape,"MLTPLN(PLN((x=-844.82,y=-191.93,d=2.0)(x=-817.15,y=-231.16,d=2.0)(x=-844.82,y=-191.93,d=18.0)(x=-817.15,y=-231.16,d=18.0)),PLN((x=-820.36,y=-230.74,d=2.0)(x=-796.96,y=-255.4,d=2.0)(x=-799.96,y=-258.25,d=15.0)(x=-823.37,y=-233.59,d=15.0)))"
13,F01622F,MultiSegmentProcess,"MULTI(F016221,F016222,F016223,F016224)",CharacteristicMag,CHAR(mag=7.5),MultiPlaneShape,"MLTPLN(PLN((x=-161.21,y=77.49,d=2.0)(x=-166.96,y=97.17,d=2.0)(x=-163.64,y=98.14,d=2.0)(x=-157.88,y=78.46,d=2.0)),PLN((x=-157.87,y=78.49,d=4.0)(x=-163.48,y=97.69,d=4.0)(x=-156.76,y=99.65,d=12.0)(x=-151.15,y=80.46,d=12.0)),PLN((x=-166.99,y=97.28,d=2.0)(x=-166.53,y=110.38,d=2.0)(x=-163.07,y=110.26,d=2.0)(x=-163.53,y=97.16,d=2.0)),PLN((x=-163.47,y=97.73,d=4.0)(x=-163.05,y=109.72,d=4.0)(x=-156.05,y=109.48,d=12.0)(x=-156.47,y=97.49,d=12.0)),PLN((x=-166.54,y=110.41,d=2.0)(x=-161.19,y=126.02,d=2.0)(x=-157.92,y=124.89,d=2.0)(x=-163.26,y=109.28,d=2.0)),PLN((x=-163.02,y=109.74,d=4.0)(x=-157.83,y=124.88,d=4.0)(x=-151.21,y=122.61,d=12.0)(x=-156.39,y=107.47,d=12.0)),PLN((x=-142.69,y=36.13,d=2.0)(x=-149.11,y=40.56,d=2.0)(x=-147.17,y=43.37,d=9.0)(x=-140.75,y=38.94,d=9.0)),PLN((x=-149.1,y=40.58,d=2.0)(x=-151.92,y=45.64,d=2.0)(x=-148.94,y=47.31,d=9.0)(x=-146.11,y=42.24,d=9.0)),PLN((x=-151.99,y=45.69,d=2.0)(x=-164.03,y=77.38,d=2.0)(x=-160.83,y=78.6,d=9.0)(x=-148.8,y=46.9,d=9.0)),PLN((x=-152.9,y=46.8,d=2.0)(x=-147.77,y=44.3,d=2.0)(x=-149.87,y=40.0,d=13.0)(x=-155.0,y=42.5,d=13.0)),PLN((x=-147.75,y=44.24,d=2.0)(x=-145.59,y=38.97,d=2.0)(x=-150.02,y=37.15,d=13.0)(x=-152.18,y=42.43,d=13.0)),PLN((x=-145.49,y=38.8,d=2.0)(x=-130.45,y=20.09,d=2.0)(x=-134.18,y=17.09,d=13.0)(x=-149.22,y=35.8,d=13.0)),PLN((x=-133.83,y=18.89,d=4.0)(x=-126.34,y=10.71,d=4.0)(x=-137.81,y=0.2,d=16.0)(x=-145.3,y=8.38,d=16.0)),PLN((x=-126.34,y=10.77,d=4.0)(x=-119.83,y=-11.91,d=4.0)(x=-134.79,y=-16.2,d=16.0)(x=-141.29,y=6.49,d=16.0)),PLN((x=-119.83,y=-11.91,d=4.0)(x=-125.98,y=-25.04,d=4.0)(x=-140.07,y=-18.44,d=16.0)(x=-133.92,y=-5.31,d=16.0)))"
14,F01622D,MultiSegmentProcess,"MULTI(F016221,F016222,F016223)",CharacteristicMag,CHAR(mag=7.4),MultiPlaneShape,"MLTPLN(PLN((x=-161.21,y=77.49,d=2.0)(x=-166.96,y=97.17,d=2.0)(x=-163.64,y=98.14,d=2.0)(x=-157.88,y=78.46,d=2.0)),PLN((x=-157.87,y=78.49,d=4.0)(x=-163.48,y=97.69,d=4.0)(x=-156.76,y=99.65,d=12.0)(x=-151.15,y=80.46,d=12.0)),PLN((x=-166.99,y=97.28,d=2.0)(x=-166.53,y=110.38,d=2.0)(x=-163.07,y=110.26,d=2.0)(x=-163.53,y=97.16,d=2.0)),PLN((x=-163.47,y=97.73,d=4.0)(x=-163.05,y=109.72,d=4.0)(x=-156.05,y=109.48,d=12.0)(x=-156.47,y=97.49,d=12.0)),PLN((x=-166.54,y=110.41,d=2.0)(x=-161.19,y=126.02,d=2.0)(x=-157.92,y=124.89,d=2.0)(x=-163.26,y=109.28,d=2.0)),PLN((x=-163.02,y=109.74,d=4.0)(x=-157.83,y=124.88,d=4.0)(x=-151.21,y=122.61,d=12.0)(x=-156.39,y=107.47,d=12.0)),PLN((x=-142.69,y=36.13,d=2.0)(x=-149.11,y=40.56,d=2.0)(x=-147.17,y=43.37,d=9.0)(x=-140.75,y=38.94,d=9.0)),PLN((x=-149.1,y=40.58,d=2.0)(x=-151.92,y=45.64,d=2.0)(x=-148.94,y=47.31,d=9.0)(x=-146.11,y=42.24,d=9.0)),PLN((x=-151.99,y=45.69,d=2.0)(x=-164.03,y=77.38,d=2.0)(x=-160.83,y=78.6,d=9.0)(x=-148.8,y=46.9,d=9.0)),PLN((x=-152.9,y=46.8,d=2.0)(x=-147.77,y=44.3,d=2.0)(x=-149.87,y=40.0,d=13.0)(x=-155.0,y=42.5,d=13.0)),PLN((x=-147.75,y=44.24,d=2.0)(x=-145.59,y=38.97,d=2.0)(x=-150.02,y=37.15,d=13.0)(x=-152.18,y=42.43,d=13.0)),PLN((x=-145.49,y=38.8,d=2.0)(x=-130.45,y=20.09,d=2.0)(x=-134.18,y=17.09,d=13.0)(x=-149.22,y=35.8,d=13.0)))"
15,F01622E,MultiSegmentProcess,"MULTI(F016222,F016223,F016224)",CharacteristicMag,CHAR(mag=7.4),MultiPlaneShape,"MLTPLN(PLN((x=-142.69,y=36.13,d=2.0)(x=-149.11,y=40.56,d=2.0)(x=-147.17,y=43.37,d=9.0)(x=-140.75,y=38.94,d=9.0)),PLN((x=-149.1,y=40.58,d=2.0)(x=-151.92,y=45.64,d=2.0)(x=-148.94,y=47.31,d=9.0)(x=-146.11,y=42.24,d=9.0)),PLN((x=-151.99,y=45.69,d=2.0)(x=-164.03,y=77.38,d=2.0)(x=-160.83,y=78.6,d=9.0)(x=-148.8,y=46.9,d=9.0)),PLN((x=-152.9,y=46.8,d=2.0)(x=-147.77,y=44.3,d=2.0)(x=-149.87,y=40.0,d=13.0)(x=-155.0,y=42.5,d=13.0)),PLN((x=-147.75,y=44.24,d=2.0)(x=-145.59,y=38.97,d=2.0)(x=-150.02,y=37.15,d=13.0)(x=-152.18,y=42.43,d=13.0)),PLN((x=-145.49,y=38.8,d=2.0)(x=-130.45,y=20.09,d=2.0)(x=-134.18,y=17.09,d=13.0)(x=-149.22,y=35.8,d=13.0)),PLN((x=-133.83,y=18.89,d=4.0)(x=-126.34,y=10.71,d=4.0)(x=-137.81,y=0.2,d=16.0)(x=-145.3,y=8.38,d=16.0)),PLN((x=-126.34,y=10.77,d=4.0)(x=-119.83,y=-11.91,d=4.0)(x=-134.79,y=-16.2,d=16.0)(x=-141.29,y=6.49,d=16.0)),PLN((x=-119.83,y=-11.91,d=4.0)(x=-125.98,y=-25.04,d=4.0)(x=-140.07,y=-18.44,d=16.0)(x=-133.92,y=-5.31,d=16.0)))"
16,F01622B,MultiSegmentProcess,"MULTI(F016222,F016223)",CharacteristicMag,CHAR(mag=7.1),MultiPlaneShape,"MLTPLN(PLN((x=-142.69,y=36.13,d=2.0)(x=-149.11,y=40.56,d=2.0)(x=-147.17,y=43.37,d=9.0)(x=-140.75,y=38.94,d=9.0)),PLN((x=-149.1,y=40.58,d=2.0)(x=-151.92,y=45.64,d=2.0)(x=-148.94,y=47.31,d=9.0)(x=-146.11,y=42.24,d=9.0)),PLN((x=-151.99,y=45.69,d=2.0)(x=-164.03,y=77.38,d=2.0)(x=-160.83,y=78.6,d=9.0)(x=-148.8,y=46.9,d=9.0)),PLN((x=-152.9,y=46.8,d=2.0)(x=-147.77,y=44.3,d=2.0)(x=-149.87,y=40.0,d=13.0)(x=-155.0,y=42.5,d=13.0)),PLN((x=-147.75,y=44.24,d=2.0)(x=-145.59,y=38.97,d=2.0)(x=-150.02,y=37.15,d=13.0)(x=-152.18,y=42.43,d=13.0)),PLN((x=-145.49,y=38.8,d=2.0)(x=-130.45,y=20.09,d=2.0)(x=-134.18,y=17.09,d=13.0)(x=-149.22,y=35.8,d=13.0)))"
17,F01622C,MultiSegmentProcess,"MULTI(F016223,F016224)",CharacteristicMag,CHAR(mag=7.3),MultiPlaneShape,"MLTPLN(PLN((x=-152.9,y=46.8,d=2.0)(x=-147.77,y=44.3,d=2.0)(x=-149.87,y=40.0,d=13.0)(x=-155.0,y=42.5,d=13.0)),PLN((x=-147.75,y=44.24,d=2.0)(x=-145.59,y=38.97,d=2.0)(x=-150.02,y=37.15,d=13.0)(x=-152.18,y=42.43,d=13.0)),PLN((x=-145.49,y=38.8,d=2.0)(x=-130.45,y=20.09,d=2.0)(x=-134.18,y=17.09,d=13.0)(x=-149.22,y=35.8,d=13.0)),PLN((x=-133.83,y=18.89,d=4.0)(x=-126.34,y=10.71,d=4.0)(x=-137.81,y=0.2,d=16.0)(x=-145.3,y=8.38,d=16.0)),PLN((x=-126.34,y=10.77,d=4.0)(x=-119.83,y=-11.91,d=4.0)(x=-134.79,y=-16.2,d=16.0)(x=-141.29,y=6.49,d=16.0)),PLN((x=-119.83,y=-11.91,d=4.0)(x=-125.98,y=-25.04,d=4.0)(x=-140.07,y=-18.44,d=16.0)(x=-133.92,y=-5.31,d=16.0)))"
18,F01622A,MultiSegmentProcess,"MULTI(F016221,F016222)",CharacteristicMag,CHAR(mag=7.2),MultiPlaneShape,"MLTPLN(PLN((x=-161.21,y=77.49,d=2.0)(x=-166.96,y=97.17,d=2.0)(x=-163.64,y=98.14,d=2.0)(x=-157.88,y=78.46,d=2.0)),PLN((x=-157.87,y=78.49,d=4.0)(x=-163.48,y=97.69,d=4.0)(x=-156.76,y=99.65,d=12.0)(x=-151.15,y=80.46,d=12.0)),PLN((x=-166.99,y=97.28,d=2.0)(x=-166.53,y=110.38,d=2.0)(x=-163.07,y=110.26,d=2.0)(x=-163.53,y=97.16,d=2.0)),PLN((x=-163.47,y=97.73,d=4.0)(x=-163.05,y=109.72,d=4.0)(x=-156.05,y=109.48,d=12.0)(x=-156.47,y=97.49,d=12.0)),PLN((x=-166.54,y=110.41,d=2.0)(x=-161.19,y=126.02,d=2.0)(x=-157.92,y=124.89,d=2.0)(x=-163.26,y=109.28,d=2.0)),PLN((x=-163.02,y=109.74,d=4.0)(x=-157.83,y=124.88,d=4.0)(x=-151.21,y=122.61,d=12.0)(x=-156.39,y=107.47,d=12.0)),PLN((x=-142.69,y=36.13,d=2.0)(x=-149.11,y=40.56,d=2.0)(x=-147.17,y=43.37,d=9.0)(x=-140.75,y=38.94,d=9.0)),PLN((x=-149.1,y=40.58,d=2.0)(x=-151.92,y=45.64,d=2.0)(x=-148.94,y=47.31,d=9.0)(x=-146.11,y=42.24,d=9.0)),PLN((x=-151.99,y=45.69,d=2.0)(x=-164.03,y=77.38,d=2.0)(x=-160.83,y=78.6,d=9.0)(x=-148.8,y=46.9,d=9.0)))"
19,F01300E,MultiSegmentProcess,"MULTI(F013001,F013101)",CharacteristicMag,CHAR(mag=6.8),MultiPlaneShape,"MLTPLN(PLN((x=-787.06,y=-308.02,d=3.0)(x=-806.28,y=-322.4,d=3.0)(x=-787.06,y=-308.02,d=17.0)(x=-806.28,y=-322.4,d=17.0)),PLN((x=-805.83,y=-321.92,d=3.0)(x=-813.61,y=-340.34,d=3.0)(x=-805.83,y=-321.92,d=17.0)(x=-813.61,y=-340.34,d=17.0)))"
20,F01300D,MultiSegmentProcess,"MULTI(F013002,F013003)",CharacteristicMag,CHAR(mag=7.0),MultiPlaneShape,"MLTPLN(PLN((x=-804.75,y=-320.03,d=3.0)(x=-824.38,y=-329.95,d=3.0)(x=-827.99,y=-322.81,d=14.0)(x=-808.36,y=-312.89,d=14.0)),PLN((x=-822.26,y=-323.59,d=3.0)(x=-848.82,y=-341.44,d=3.0)(x=-853.28,y=-334.8,d=14.0)(x=-826.72,y=-316.95,d=14.0)))"
21,F01300F,MultiSegmentProcess,"MULTI(F013001,F013101,F013102)",CharacteristicMag,CHAR(mag=7.3),MultiPlaneShape,"MLTPLN(PLN((x=-787.06,y=-308.02,d=3.0)(x=-806.28,y=-322.4,d=3.0)(x=-787.06,y=-308.02,d=17.0)(x=-806.28,y=-322.4,d=17.0)),PLN((x=-805.83,y=-321.92,d=3.0)(x=-813.61,y=-340.34,d=3.0)(x=-805.83,y=-321.92,d=17.0)(x=-813.61,y=-340.34,d=17.0)),PLN((x=-811.97,y=-334.15,d=3.0)(x=-839.42,y=-368.54,d=3.0)(x=-845.67,y=-363.55,d=14.0)(x=-818.22,y=-329.16,d=14.0)))"
22,F01300A,MultiSegmentProcess,"MULTI(F013001,F013002,F013003)",CharacteristicMag,CHAR(mag=7.2),MultiPlaneShape,"MLTPLN(PLN((x=-787.06,y=-308.02,d=3.0)(x=-806.28,y=-322.4,d=3.0)(x=-787.06,y=-308.02,d=17.0)(x=-806.28,y=-322.4,d=17.0)),PLN((x=-804.75,y=-320.03,d=3.0)(x=-824.38,y=-329.95,d=3.0)(x=-827.99,y=-322.81,d=14.0)(x=-808.36,y=-312.89,d=14.0)),PLN((x=-822.26,y=-323.59,d=3.0)(x=-848.82,y=-341.44,d=3.0)(x=-853.28,y=-334.8,d=14.0)(x=-826.72,y=-316.95,d=14.0)))"
23,F01300C,MultiSegmentProcess,"MULTI(F013001,F013002)",CharacteristicMag,CHAR(mag=6.9),MultiPlaneShape,"MLTPLN(PLN((x=-787.06,y=-308.02,d=3.0)(x=-806.28,y=-322.4,d=3.0)(x=-787.06,y=-308.02,d=17.0)(x=-806.28,y=-322.4,d=17.0)),PLN((x=-804.75,y=-320.03,d=3.0)(x=-824.38,y=-329.95,d=3.0)(x=-827.99,y=-322.81,d=14.0)(x=-808.36,y=-312.89,d=14.0)))"
24,F01300B,MultiSegmentProcess,"MULTI(F013001,F013101,F013102,F013103)",CharacteristicMag,CHAR(mag=7.4),MultiPlaneShape,"MLTPLN(PLN((x=-787.06,y=-308.02,d=3.0)(x=-806.28,y=-322.4,d=3.0)(x=-787.06,y=-308.02,d=17.0)(x=-806.28,y=-322.4,d=17.0)),PLN((x=-805.83,y=-321.92,d=3.0)(x=-813.61,y=-340.34,d=3.0)(x=-805.83,y=-321.92,d=17.0)(x=-813.61,y=-340.34,d=17.0)),PLN((x=-811.97,y=-334.15,d=3.0)(x=-839.42,y=-368.54,d=3.0)(x=-845.67,y=-363.55,d=14.0)(x=-818.22,y=-329.16,d=14.0)),PLN((x=-837.42,y=-366.4,d=3.0)(x=-862.41,y=-389.46,d=3.0)(x=-837.42,y=-366.4,d=17.0)(x=-862.41,y=-389.46,d=17.0)))"
25,F01830B,MultiSegmentProcess,"MULTI(F018101,F018201,F018301)",CharacteristicMag,CHAR(mag=7.4),MultiPlaneShape,"MLTPLN(PLN((x=-858.17,y=-111.76,d=4.0)(x=-812.98,y=-144.84,d=4.0)(x=-858.17,y=-111.76,d=22.0)(x=-812.98,y=-144.84,d=22.0)),PLN((x=-813.95,y=-144.45,d=2.0)(x=-781.77,y=-174.46,d=2.0)(x=-813.95,y=-144.45,d=20.0)(x=-781.77,y=-174.46,d=20.0)),PLN((x=-782.45,y=-174.7,d=2.0)(x=-772.21,y=-191.88,d=2.0)(x=-782.45,y=-174.7,d=20.0)(x=-772.21,y=-191.88,d=20.0)))"
26,F01830A,MultiSegmentProcess,"MULTI(F018201,F018301)",CharacteristicMag,CHAR(mag=7.2),MultiPlaneShape,"MLTPLN(PLN((x=-813.95,y=-144.45,d=2.0)(x=-781.77,y=-174.46,d=2.0)(x=-813.95,y=-144.45,d=20.0)(x=-781.77,y=-174.46,d=20.0)),PLN((x=-782.45,y=-174.7,d=2.0)(x=-772.21,y=-191.88,d=2.0)(x=-782.45,y=-174.7,d=20.0)(x=-772.21,y=-191.88,d=20.0)))"
27,F01482B,MultiSegmentProcess,"MULTI(F014821,F014822)",CharacteristicMag,CHAR(mag=7.0),MultiPlaneShape,"MLTPLN(PLN((x=-26.87,y=44.36,d=5.0)(x=-11.57,y=31.47,d=5.0)(x=-19.85,y=21.64,d=15.0)(x=-35.15,y=34.52,d=15.0)),PLN((x=-12.14,y=32.01,d=5.0)(x=0.56,y=16.56,d=5.0)(x=-9.38,y=8.4,d=15.0)(x=-22.07,y=23.85,d=15.0)))"
28,F01482C,MultiSegmentProcess,"MULTI(F014721,F014821,F014822)",CharacteristicMag,CHAR(mag=7.5),MultiPlaneShape,"MLTPLN(PLN((x=-83.15,y=78.71,d=5.0)(x=-22.16,y=40.45,d=5.0)(x=-26.94,y=32.83,d=16.0)(x=-87.93,y=71.09,d=16.0)),PLN((x=-26.87,y=44.36,d=5.0)(x=-11.57,y=31.47,d=5.0)(x=-19.85,y=21.64,d=15.0)(x=-35.15,y=34.52,d=15.0)),PLN((x=-12.14,y=32.01,d=5.0)(x=0.56,y=16.56,d=5.0)(x=-9.38,y=8.4,d=15.0)(x=-22.07,y=23.85,d=15.0)))"
29,F01482A,MultiSegmentProcess,"MULTI(F014721,F014821)",CharacteristicMag,CHAR(mag=7.4),MultiPlaneShape,"MLTPLN(PLN((x=-83.15,y=78.71,d=5.0)(x=-22.16,y=40.45,d=5.0)(x=-26.94,y=32.83,d=16.0)(x=-87.93,y=71.09,d=16.0)),PLN((x=-26.87,y=44.36,d=5.0)(x=-11.57,y=31.47,d=5.0)(x=-19.85,y=21.64,d=15.0)(x=-35.15,y=34.52,d=15.0)))"
30,F01860A,MultiSegmentProcess,"MULTI(F018501,F018601)",CharacteristicMag,CHAR(mag=7.2),MultiPlaneShape,"MLTPLN(PLN((x=-662.3,y=-128.11,d=2.0)(x=-674.93,y=-153.1,d=2.0)(x=-680.42,y=-150.32,d=17.0)(x=-667.8,y=-125.33,d=17.0)),PLN((x=-674.22,y=-153.02,d=2.0)(x=-714.15,y=-179.65,d=2.0)(x=-717.57,y=-174.53,d=17.0)(x=-677.64,y=-147.89,d=17.0)))"
31,F01290A,MultiSegmentProcess,"MULTI(F012903,F012904)",CharacteristicMag,CHAR(mag=7.1),MultiPlaneShape,"MLTPLN(PLN((x=-852.85,y=-325.26,d=3.0)(x=-886.79,y=-327.27,d=3.0)(x=-887.32,y=-318.29,d=16.0)(x=-853.38,y=-316.27,d=16.0)),PLN((x=-891.29,y=-340.27,d=3.0)(x=-866.09,y=-333.89,d=3.0)(x=-863.88,y=-342.61,d=16.0)(x=-889.08,y=-348.99,d=16.0)))"
